index,pmkArtist,fldName,fldLocation
1,ARD7TVE1187B99BFB1,Casual,California - LA
2,ARMJAGH1187FB546F3,The Box Tops,"Memphis, TN"
3,ARKRRTF1187B9984DA,Sonora Santanera,Not available
4,AR7G5I41187FB4CE6C,Adam Ant,"London, England"
5,ARXR32B1187FB57099,Gob,Not available
6,ARKFYS91187B98E58F,Jeff And Sheri Easter,Not available
7,ARD0S291187B9B7BF5,Rated R,Ohio
8,AR10USD1187B99F3F1,Tweeterfriendly Music,"Burlington, Ontario, Canada"
9,AR8ZCNI1187B9A069B,Planet P Project,Not available
10,ARNTLGG11E2835DDB9,Clp,Not available
11,ARGSJW91187B9B1D6B,JennyAnyKind,North Carolina
12,ARC43071187B990240,Wayne Watson,"Wisner, LA"
13,ARL7K851187B99ACD2,Andy Andy,Not available
14,ARHHO3O1187B989413,Bob Azzam,Not available
15,ARIK43K1187B9AE54C,Lionel Richie,"Beverly Hills, CA"
16,ARD842G1187B997376,Blue Rodeo,"Toronto, Ontario, Canada"
17,ARIG6O41187B988BDD,Richard Souther,United States
18,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,Not available
19,ARYKCQI1187FB3B18F,Tesla,Not available
20,ARNPAGP1241B9C7FD4,lextrical,Not available
21,ARQGYP71187FB44566,Jimmy Wakely,"Mineola, AR"
22,ARI3BMM1187FB4255E,Alice Stuart,Washington
23,AR5KOSW1187FB35FF4,Elena,Dubai UAE
24,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,"Morris Plains, NJ"
25,AR47JEX1187B995D81,SUE THOMPSON,"Nevada, MO"
26,ARGIWFO1187B9B55B7,Five Bolt Main,Not available
27,ARDNS031187B9924F0,Tim Wilson,Georgia
28,AROUOZZ1187B9ABE51,Willie Bobo,"New York, NY [Spanish Harlem]"
29,ARH4Z031187B9A71F2,Faye Adams,"Newark, NJ"
30,ARB29H41187B98F0EF,Terry Callier,Chicago
31,AR1Y2PT1187FB5B9CE,John Wesley,Brandon
32,ARAJPHH1187FB5566A,The Shangri-Las,"Queens, NY"
33,AR0RCMP1187FB3F427,Billie Jo Spears,"Beaumont, TX"
34,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),"Houston, TX"
35,ARGUVEV1187B98BA17,Sierra Maestra,Not available
36,ARPQ4Z01187FB3A736,Butthole Surfers,"San Antonio, TX"
37,ARNQAVF11F4C844C04,Despina Vandi,Not available
38,ARXUT4W1187FB48BEB,Javier Navarrete,Not available
39,ARDD1RC1187B9B52B4,Jacob Young,Not available
40,ARLGWFM1187FB4AC9F,Scarlet's Remains,California - LA
41,ARWYVP51187B98C516,The Suicide Machines,"Detroit, MI"
42,ARFCUN31187B9AD578,The Rolling Stones,"London, England"
43,AR6YDKV1187B989230,Roberto Torres,Not available
44,ARV1JVD1187B9AD195,Loudon Wainwright III,"Chapel Hill, NC"
45,AR7TTS41187B9B42D3,R.L. Burnside,"Oxford, MS"
46,ART3O5Z1187B9AB043,Stevie Ray Vaughan,"Dallas, TX"
47,AR5U94U1187FB5CDCF,John Hammond,Not available
48,ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,Not available
49,AR6IRG41187B9A4D98,Ec8or,"Berlin, Germany"
50,ARS1OWB1187B99EEAD,The New York Dolls,"New York, NY"
51,ARGMXQW1187FB54C34,Eliane Elias,"Sao Paulo, Brazil"
52,AROEL1B1187B988B90,Lost Boyz,"South Jamaica, Queens"
53,AR8W8DN1187FB35ED0,The Germs,"Los Angeles, CA"
54,ARUWLCL1187FB549B8,Yamandu Costa,Not available
55,AR3793X1187FB50CB3,Chris Rea,"Middlesbrough, England"
56,ARINEWW1187FB5577E,Perrey And Kingsley,Not available
57,ARDGB6U1187FB3AD07,Eurythmics,"London, England"
58,AR2J2WF1187FB46271,Francis Dunnery,"Egremont, Cumbria, England"
59,ARUI8651187B9ACF52,John Cale,"Garnant, Wales"
60,AR89DTT1187B9A7ED5,Suzanne Ciani,California - SF
61,ARMD0G81187B99A519,Vickie Winans,Not available
62,AR0VZWC1187B99BA57,The Berzerker,"Melbourne, Australia"
63,ARF2EHS1187B994F4E,Kings Of Leon,"Nashville, Tennessee"
64,ARZKRD01187FB45FD2,Edith Lefel,Not available
65,ARK4H5K1187B992F74,Taras,Not available
66,AR06EB01187FB40150,NOFX,"Berkeley, CA"
67,ARKPDBH1242077DEB1,Murskahumppa,Not available
68,ARBJSO81187B9BA09B,Soda Stereo,Not available
69,ARRC2JF1187B9B6A93,Bruce Rowland,AUSTRALIA
70,ARNIFX51187FB418EA,Xcultures,Not available
71,ARCCRTI11F4C845308,White Heart,Not available
72,ARNVH8S1187FB52F86,Heavy D / McGruff,"Jamaica, West Indies"
73,ARNLO5S1187B9B80CC,Van Halen,"Pasadena, CA"
74,ARTDQRC1187FB4EFD4,Black Eyed Peas,"Los Angeles, CA"
75,ARK9TRQ1187B99C095,Nine Inch Nails,"Cleveland, OH"
76,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,Not available
77,ARMBYRO1187FB57419,Nadine Renee,Not available
78,ARWY7I71187FB36C3D,Lesley Gore,"New York, NY"
79,AR6Y22S1187B99906F,Smartbomb,Not available
80,ARI5P4N1187FB3F44D,Suburbs,Minnesota
81,ARYPWUK1187B98ACED,Emperor,Norway
82,ARW63KF1187B98AC48,Julien Clerc,FR
83,AR8H87D1187FB3A841,Glen Campbell,"Delight, AR"
84,ARLWR721187B9A03C9,T.G. Sheppard,"Humboldt, TN"
85,ARF4V431187FB3AA41,Slim Whitman,"Tampa, FL"
86,ARBGWMW1187B9AEA3E,Savage Garden,CA
87,AR6G4V01187B9AD086,Queens Of The Stone Age,Not available
88,ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,"Birmingham, AL"
89,AR9AM2N1187B9AD2F1,Inspiral Carpets,"Manchester, England"
90,AR9XEVF1187B99D017,Borialis,Not available
91,ARCFOZ71187FB43A0D,The Dirty Skirts,Not available
92,ARHFEBO11F50C4825A,Flor Silvestre,Not available
93,AR107SB1187B9A79F9,BA(c)zu,"BA(c)zu, comme Superdupont, ne connait qu&#039;un pays : la France !"
94,ARXWAQQ1187B9AE954,Redman,"Newark, NJ"
95,ARL6XZC1187FB3936E,Solistiyhtye Suomi,Not available
96,ARSDSMG1187B98CB59,Eddie Cantor,"New York, NY"
97,AR3WMW01187B9921F7,Schizoid,Not available
98,AR3C3C01187B98E800,Kai Winding,"Aarhus, Denmark"
99,ARDD9UN1187B98D3A7,Sonny Simmons,"Sicily Island, LA"
100,ARJGNV61187B98F3B5,Mira,"Tallahassee, FL"
101,ARSVI4L1187B996181,Citizen Kaned,Not available
102,ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,Not available
103,AR4PCIG1187B98D07D,Ellen McIlwaine,"Nashville, TN"
104,AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,"San Francisco, CA"
105,AR1X2H01187B98CCF2,Maurice Chevalier,"Menilmontant, France"
106,ARBQBZV1187B99D29E,Carl Cox Vs Yousef,Not available
107,AR9ODB41187FB459B2,Organized Konfusion,"SPRINGFIELD, Virginia"
108,ARF3GX71187FB3EB66,Martina McBride,"Medicine Lodge, KS"
109,AR3PN3R1187FB4CEBD,Horace Andy,"Kingston, Jamaica"
110,ARYWCFZ11E2835CFDD,Nazz,Not available
111,ARUT16P1187FB532A4,Tyrone Davis,"Greenville, MS"
112,AREOGMA1187B9908EF,Hot Tuna,"San Francisco, CA"
113,AR4ABL21187FB3913A,Richard Burton,Pennsylvania
114,AR8YV1I1187FB45D2B,Rory Block,"New York, NY"
115,ARR9XGB1187B9912E6,Boyz II Men,"Philadelphia, PA"
116,ARBKUS51187B98A3AC,Howard Armstrong,"Dayton, TN"
117,ARTB5PP1187FB523B7,Donny Hathaway,"Chicago, IL"
118,ARXFQDY1187B9AAF1E,Miguel Gallardo,Not available
119,ARVEJ9M1187FB4DC44,Les Ogres De Barback,Not available
120,ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,Not available
121,ARQESNI1187FB511EE,Morel,Washington DC
122,ARCZ20M1187FB49687,Tony Joe White,"Goodwill, LA"
123,ARDF8K01187FB37200,Wolfmother,"Sydney, Australia"
124,AR11NP91187B9901B4,The Roches,New York City
125,ARBZAIL1187FB5B1C8,Bob Margolin,"Boston, MA"
126,ARWXHRS1241B9C7A1E,Thomas Battenstein,Not available
127,ARV1P811187FB3CFC6,Jupiter Rising,Not available
128,ARIU0MA1187B98D36F,Dharma Bums,Not available
129,ARB4D891187B9954F7,Saafir,Not available
130,ARQOC971187B9910FA,The Verve Pipe,"Lansing, MI"
131,AR19SOA1187B98F6E6,Bob Neuwirth,New York
132,ARTDBI61187FB48479,Marvin Sapp,"Grand Rapids, MI"
133,ARSE6YI1187B9B9CD2,James Hunter,Austin
134,AR6C8EJ1187FB3F473,Nelson Ned," UbA!, Minas Gerais"
135,AROI96Z1187B9A5304,Mish Mash,Not available
136,ARIOSKN1257509BCE1,Cama,Not available
137,ARI0PUX1187FB3F215,Maxi Priest,Great Britain / UK
138,ARYO9BU1187B9ADA88,Porcupine Tree,Not available
139,ARZ507V1187FB4425E,Ragheb Alama,Not available
140,AR6XPWV1187B9ADAEB,Foo Fighters,"Seattle, WA"
141,AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,"Barranquilla, Colombia"
142,AR4CG3B1187FB5B861,The Avengers,California - SF
143,AR7BMMV1187FB5B2D7,Robben Ford,"Ukiah, CA"
144,AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,Not available
145,AREEMIN11F4C848971,Gil Semedo,Netherlands
146,ARBGJLS11F4C83D4B9,Xmilk,Not available
147,ARVNDLR1187B99CA1B,Dolce; Oscar G.,Oklahoma
148,AR5LZJD1187FB4C5E5,Britt Nicole, NC
149,ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,"Severn, MD"
150,ARK2G5U1187FB46B34,Perrey And Kingsley,Not available
151,ARTB56G11C8A41569D,Sven Tasnadi,Not available
152,AR0GGKI1187FB391D5,Eddie,Not available
153,ARZEWUR1187FB53DC8,Enthroned,"Belgica -- Namur, Namur/Ghent, East Flanders"
154,ARTHKKA122BCFCBF58,Milan Band,Not available
155,ARJDMBO1187B9AD118,Johnny Osbourne,Not available
156,ARYJSY01187B9B7C65,Dolly Parton,"Locust Ridge, TN"
157,AR77FBJ1187FB49D8D,Rance Allen Group,"Detroit, MI"
158,ARFVYJI1187B9B8E13,Pearl Jam,"Seattle, WA"
159,ARBM4TC1187FB5CE98,Natalie Cole,"Los Angeles, CA"
160,ARMQHX71187B9890D3,Mastodon,"Atlanta, GA"
161,ARYXJ5A1187B9B9E56,Kiril Valeri,Jerez De La Frontera (CA!diz)
162,ARULHJM1187B997004,Word,Not available
163,AROTIMO1187FB532BF,DJ Quik,Compton CA
164,AR0X3JJ1187FB3A9A7,Hank Locklin,"McLellan, FL"
165,AR035N21187FB3938E,BT,Earth
166,ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.,Not available
167,AR358YS1187FB44A29,The Jordanaires,"Springfield, MO"
168,ARANOZN1187B9B373E,Descendents,"Los Angeles, CA"
169,ARHONG11187FB3B120,L.A. Guns,katy
170,ARRA2F91187B9B4061,Bare Jr.,Not available
171,ARSGZ3J1187FB3E610,Shelley Fabares,"Santa Monica, CA"
172,ARMQ32V1187B9999F3,Norrie Paramor,England
173,AR8EDG51187FB41A08,Gary Hobbs,Not available
174,AR1GYND1187B9A9CD3,Diesel Boy,"Santa Rosa, California"
175,AR1PCLK1187FB5BBFF,Angelo Badalamenti,New Jersey
176,ARF0W6Z1187B9AC325,Cradle Of Filth,Not available
177,ARWGIOC1187FB4CBEF,Jim Chappell,United States
178,ARZHLNX1187FB4B8E7,Ladybug,NY - New York City
179,ARC25S11187B993923,Bandido,Not available
180,ARKE8PP1187B997DD4,Brixx,Not available
181,ARGTUWC1187B9904A0,Susana Seivane,Not available
182,ARFS01P1187B9A395A,Leland Martin,"Blandford, MA"
183,ARGWIHH1187B9A79B0,Test Icicles,Not available
184,AR5MK521187B98E0B8,Heaven 17,"London, England"
185,ARU22AM1187B9961EA,React,Not available
186,AR93RTI1187B98ECFB,Mance Lipscomb,"Navasota, TX"
187,AR9AN471187B99E0DA,Scott Wesley Brown,Atlanta Georgia USA
188,ARAR4YH1187B98BF2A,FlA!vio JosA(c),Not available
189,AR567PN1187FB4B4F2,Moss,Not available
190,ARYKF861187B99C74B,Pery Ribeiro,Not available
191,AR4K59J1187FB3759B,Soular,Oregon
192,ARLSF8H1187B9A76B0,Dimmu Borgir,"Oslo, Norway"
193,ARDG9Z71187B997023,Public Image Ltd,"London, England"
194,AR56P361187B9AC4DB,Gary Moore,"Belfast, Northern Ireland"
195,ARDDHGI126E2B3AA76,Pascal Sangla,Not available
196,ARVML631187B99E90D,The B-52's,"Athens, GA"
197,ARBKMHZ11F4C843491,Dakis,Not available
198,ARD3LXU1187B9ABFC5,Sex Pistols,Not available
199,ARXOTQH1187FB57084,Chris Brown,"Fairfax, California"
200,ARMG6K31187FB55677,Deekline & Wizard,Not available
201,ARFUSID1241B9C9462,Daniela DessA!,Genova
202,ARC6UC81187B989062,Hem,NY - New York City
203,ARKZJ301187FB521B2,Lily Allen,LDN
204,ARVKAWO11F50C47C9A,Pentangle,Not available
205,ARHXBJI1241B9C8B7F,DJ Dips,Not available
206,ARTFLEU1269FCD1FE3,Ana Bekuta,Not available
207,AR0LVFQ1187B9A84E0,Jason Miles,NY - New York City
208,ARU9KWP1187B98B2A7,Busdriver,Not available
209,ARZ05QG1187FB3843E,Byther Smith,"Monticello, MS"
210,ARTEGHH1187FB435C8,Bebo & Cigala,Not available
211,ARASSX21187FB528B7,Bizarre Inc,"Stafford, England"
212,ARRH2S81187B98C8AA,Bongzilla,"Madison, Wisconsin"
213,ARSF4161187B9B449F,The Gone Jackals,Not available
214,AR87OXB1187FB39E0B,The Willis Brothers,Not available
215,ARCLCFS1187B9AE476,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,"Sao Paulo, Brazil"
216,ARWAPYC1187FB3FCAF,S.U.P,Not available
217,ARILV5E1187B9959C8,Boogie Pimps,Not available
218,ARHSAFX1187B98E89A,Brian Keane,Texas
219,ARGR9FY1187FB4D0E7,Aberdeen,"Poza Rica, MX"
220,ARVG4OK1187B9B6BD3,The Killers,Not available
221,ARGCY1Y1187B9A4FA5,Gloriana,"Nashville, TN."
222,ARYFROT1187B9B78C2,Butterfly Temple,Not available
223,ARIN12F1187FB3E92C,Grant Geissman,"PEARLINGTON, Mississippi"
224,ARMZ4PD1187B9ACBCD,20/20,Not available
225,AR0CWSC1187B9AFE3F,JosA(c) Augusto,Not available
226,ARD5K161187B9AC784,Orbital,"Sevenoaks, United Kingdom"
227,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony / Akon,"Cleveland, OH"
228,ARSTH0R1187B98951E,Moonsorrow,Not available
229,ARSL5SP1187B9A7AE0,N.W.A.,"Compton, California, USA."
230,ARCE0H01187B9AF741,Rage Against The Machine,"Los Angeles, CA"
231,ARW4AGO1187FB4F107,Jazz Gillum,"Indianola, MS"
232,ARZWK2R1187B98F09F,Rise Against,Chicago
233,ARDOOH01187B991055,Ultraviolence,Not available
234,ARMBTFC1187FB56343,Korn,"Bakersfield, CA"
235,ARBH0MS1187FB36311,Sir Neville Marriner,Not available
236,ARTXEZN1187B9B8190,Agnes,Sweden
