index,pmkRelease,fldName,fnkArtist,fnkSong
1,300848,Fear Itself,ARD7TVE1187B99BFB1,SOMZWCG12A8C13C480
2,300822,Dimensions,ARMJAGH1187FB546F3,SOCIWDW12A8C13D406
3,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,SOXVLOJ12AB0189215
4,287650,Friend Or Foe,AR7G5I41187FB4CE6C,SONHOTT12A8C13493C
5,611336,Muertos Vivos,ARXR32B1187FB57099,SOFSOCN12A8C143F5D
6,41838,Ordinary Day,ARKFYS91187B98E58F,SOYMRWW12A6D4FAB14
7,25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,SOMJBYD12A6D4F8557
8,8876,Gin & Phonic,AR10USD1187B99F3F1,SOHKNRJ12A6701D1F8
9,358182,Pink World,AR8ZCNI1187B9A069B,SOIAZJW12AB01853F1
10,692313,Superinstrumental,ARNTLGG11E2835DDB9,SOUDSGM12AC9618304
11,539081,I Need You,ARGSJW91187B9B1D6B,SOQHXMF12AB0182363
12,163874,The Way Home,ARC43071187B990240,SOKEJEJ12A8C13E0D0
13,575792,Placer & Castigo,ARL7K851187B99ACD2,SOMUYGI12AB0188633
14,815863,Arrivederci,ARHHO3O1187B989413,SORAMLE12AB017C8B0
15,25811,Dancing On The Ceiling,ARIK43K1187B9AE54C,SOBONFF12A6D4F84D8
16,135122,Outskirts,ARD842G1187B997376,SOHUOAP12A8AE488E9
17,149958,Cross Currents,ARIG6O41187B988BDD,SOUQQEA12A8C134B1B
18,535188,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,SOILPQQ12AB017E82A
19,372309,Gold,ARYKCQI1187FB3B18F,SOXLBJT12A8C140925
20,541101,Whatever Happened To Boredom?,ARNPAGP1241B9C7FD4,SOZVMJI12AB01808AF
21,605134,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,SOWTBJW12AC468AC6E
22,239740,All The Good Times,ARI3BMM1187FB4255E,SOBEBDG12A58A76D60
23,386995,Un cafe_ setanta matins,AR5KOSW1187FB35FF4,SOZCTXZ12AB0182364
24,223365,Miss Machine,ARMAC4T1187FB3FA4C,SOBBUGU12A8C13E95D
25,652784,Sue Thompson - Her Very Best,AR47JEX1187B995D81,SOBLGCN12AB0183212
26,45730,Live,ARGIWFO1187B9B55B7,SOPSWQW12A6D4F8781
27,672016,Strictly Confidential,ARNTLGG11E2835DDB9,SOZQDIU12A58A7BCF6
28,160881,The Real Twang Thang,ARDNS031187B9924F0,SONYPOM12A8C13B2D7
29,59744,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,SOBZBAZ12A6D4F8742
30,373723,Shake A Hand,ARH4Z031187B9A71F2,SOVYKGO12AB0187199
