id,pmkSong,fnkArtist_id,fldTerms,fldTitle,fldYear
1,SOMZWCG12A8C13C480,ARD7TVE1187B99BFB1,hip hop,I Didn't Mean To,0
2,SOCIWDW12A8C13D406,ARMJAGH1187FB546F3,blue-eyed soul,Soul Deep,1969
3,SOXVLOJ12AB0189215,ARKRRTF1187B9984DA,salsa,Amor De Cabaret,0
4,SONHOTT12A8C13493C,AR7G5I41187FB4CE6C,pop rock,Something Girls,1982
5,SOFSOCN12A8C143F5D,ARXR32B1187FB57099,pop punk,Face the Ashes,2007
6,SOYMRWW12A6D4FAB14,ARKFYS91187B98E58F,southern gospel,The Moon And I (Ordinary Day Album Version),0
7,SOMJBYD12A6D4F8557,ARD0S291187B9B7BF5,breakbeat,Keepin It Real (Skit),0
8,SOHKNRJ12A6701D1F8,AR10USD1187B99F3F1,post-hardcore,Drop of Rain,0
9,SOIAZJW12AB01853F1,AR8ZCNI1187B9A069B,new wave,Pink World,1984
10,SOUDSGM12AC9618304,ARNTLGG11E2835DDB9,breakcore,Insatiable (Instrumental Version),0
11,SOQHXMF12AB0182363,ARGSJW91187B9B1D6B,alternative rock,Young Boy Blues,0
12,SOKEJEJ12A8C13E0D0,ARC43071187B990240,ccm,The Urgency (LP Version),0
13,SOMUYGI12AB0188633,ARL7K851187B99ACD2,bachata,La Culpa,0
14,SORAMLE12AB017C8B0,ARHHO3O1187B989413,chanson,Auguri Cha Cha,0
15,SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C,quiet storm,Tonight Will Be Alright,1986
16,SOHUOAP12A8AE488E9,ARD842G1187B997376,country rock,Floating,1987
17,SOUQQEA12A8C134B1B,ARIG6O41187B988BDD,chill-out,High Tide,0
18,SOILPQQ12AB017E82A,AR1ZHYZ1187FB3C717,qawwali,Sohna Nee Sohna Data,0
19,SOXLBJT12A8C140925,ARYKCQI1187FB3B18F,hard rock,Caught In A Dream,2004
20,SOZVMJI12AB01808AF,ARNPAGP1241B9C7FD4,indietronica,Synthetic Dream,0
21,SOWTBJW12AC468AC6E,ARQGYP71187FB44566,classic country,Broken-Down Merry-Go-Round,0
22,SOBEBDG12A58A76D60,ARI3BMM1187FB4255E,electric blues,Kassie Jones,0
23,SOZCTXZ12AB0182364,AR5KOSW1187FB35FF4,uk garage,Setanta matins,0
24,SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C,math-core,Setting Fire to Sleeping Giants,2004
25,SOBLGCN12AB0183212,AR47JEX1187B995D81,pop rock,James (Hold The Ladder Steady),1985
26,SOPSWQW12A6D4F8781,ARGIWFO1187B9B55B7,post-grunge,Made Like This (Live),0
27,SOZQDIU12A58A7BCF6,ARNTLGG11E2835DDB9,breakcore,Superconfidential,0
28,SONYPOM12A8C13B2D7,ARDNS031187B9924F0,filk,I Think My Wife Is Running Around On Me (Taco Hell),2005
29,SOBZBAZ12A6D4F8742,AROUOZZ1187B9ABE51,latin jazz,Spanish Grease,1997
30,SOVYKGO12AB0187199,ARH4Z031187B9A71F2,jump blues,Crazy Mixed Up World,1961
31,SOGNCJP12A58A80271,ARB29H41187B98F0EF,soul jazz,Do You Finally Need A Friend,1972
32,SOLLHMX12AB01846DC,AR1Y2PT1187FB5B9CE,disco,The Emperor Falls,0
33,SOYTPEP12AB0180E7B,ARAJPHH1187FB5566A,doo-wop,Twist and Shout,1964
34,SOGXHEG12AB018653E,AR0RCMP1187FB3F427,classic country,It Makes No Difference Now,1992
35,SOOLYAZ12A6701F4A6,AREBBGV1187FB523D2,rap,Laws Patrolling (Album Version),0
36,SOGOSOV12AF72A285E,ARGUVEV1187B98BA17,charanga,A?DA3nde va Chichi?,1997
37,SOJXVAH12A8C139700,ARPQ4Z01187FB3A736,noise rock,"Barking Dogs (From ""Piouhgd"")",0
38,SOVXMTN12A8C135A18,ARNQAVF11F4C844C04,dance pop,OUTE ENA EFHARISTO,0
39,SORSECL12AB0182267,ARXUT4W1187FB48BEB,orchestra,Midnight Swim,0
40,SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4,cool jazz,In A Subtle Way,0
41,SOMSBGZ12AB018C4CB,ARLGWFM1187FB4AC9F,gothic metal,Spin,2007
42,SONYRZV12AB018AF70,ARWYVP51187B98C516,ska punk,Burning In The Aftermath,2003
43,SONQBUB12A6D4F8ED0,ARFCUN31187B9AD578,blues,Angie (1993 Digital Remaster),0
44,SOHGKJW12AC468A8BD,AR6YDKV1187B989230,salsa,Sabor Guajiro,0
45,SOINBCU12A6D4F94C0,ARV1JVD1187B9AD195,modern rock,Human Cannonball,1995
46,SOTWVQT12A58A79650,AR7TTS41187B9B42D3,delta blues,Glory Be,2004
47,SOTSEJY12AB0180F56,ART3O5Z1187B9AB043,texas blues,Crossfire,1992
48,SOTSETT12AB01863B8,AR5U94U1187FB5CDCF,blues,I Can't Be Satisfied,2002
49,SOTUNMH12A6D4FA3E6,ARRJNTE1187FB44E12,trip hop,Nashville Parthenon,2006
50,SOEPPKB12AB018418B,AR6IRG41187B9A4D98,hardcore techno,Cocain Ducks,1995
51,SOGKIWV12A6D4F86C4,ARS1OWB1187B99EEAD,glam rock,Human Being,1974
52,SOPHYIS12AAF3B35A3,ARGMXQW1187FB54C34,brazilian jazz,The More I See You,2009
53,SOFHBAR12A6701D0FE,AROEL1B1187B988B90,gangster rap,Certain Things We Do,1997
54,SOCPRKM12AB018A2FD,AR8W8DN1187FB35ED0,rock,Forming,1977
55,SOFGHAM12AB0186412,ARUWLCL1187FB549B8,brazilian jazz,MafuA!,0
56,SODHVES12A6701CE6B,AR3793X1187FB50CB3,soft rock,Driving Home For Christmas,1986
57,SOXIATP12AAF3B2184,ARINEWW1187FB5577E,easy listening,Spooks In Space,1966
58,SOGNQWU12A8AE4868F,ARDGB6U1187FB3AD07,dance rock,Tous Les GarASSons Et Les Filles,1985
59,SOYQOFI12A6D4F76E1,AR2J2WF1187FB46271,singer-songwriter,Too Much Saturn,1995
60,SOVOLGY12A6D4F822B,ARUI8651187B9ACF52,experimental rock,Movement 4 [from Kiss] (Album Version),1997
61,SOMZCVH12AB0182B8E,AR89DTT1187B9A7ED5,meditation,Stream,0
62,SONXJBL12AAF3B2C0C,ARMD0G81187B99A519,ccm,Make Me Over,0
63,SOYWZTU12AB0180E26,AR0VZWC1187B99BA57,speedcore,Deform (live),2000
64,SOLGHDZ12AB0183B11,ARF2EHS1187B994F4E,southern rock,Wicker Chair,2003
65,SOTNTNJ12AAA15FBD6,ARZKRD01187FB45FD2,zouk,An ti chans',0
66,SOXZXXV12AAF3B3A67,ARK4H5K1187B992F74,trance,I Will Love Again (JJ's Club Radio),0
67,SOPIKEG12A58291636,AR06EB01187FB40150,punk,Stickin In My Eye,1992
68,SOIRNBO12AC468D207,ARKPDBH1242077DEB1,suomi rock,Ota kiinni,0
69,SOSBDSF12AB0189007,ARBJSO81187B9BA09B,rock,Entre CanAbales,1990
70,SOIJXXM12A8C1416D6,ARRC2JF1187B9B6A93,easy listening,Rosemary Recalls,1985
71,SOHMMMC12AB0181C42,ARNIFX51187FB418EA,gabba,Sudanese Dance,2000
72,SOVJXVJ12A8C13517D,ARCCRTI11F4C845308,ccm,Where The Thunder Roars (Tales Of Wonder Album Version),0
73,SOFZCTA12AB0188D8F,ARNVH8S1187FB52F86,pop rap,Wanna Be A Player,1997
74,SOLRYQR12A670215BF,ARNLO5S1187B9B80CC,heavy metal,Panama (Remastered Album Version),0
75,SOCHRXB12A8AE48069,ARTDQRC1187FB4EFD4,hip hop,Let's Get It Started,2004
76,SOKBBXO12A6701DEA0,ARK9TRQ1187B99C095,industrial metal,Metal,2000
77,SOWHYUG12A58A77FAB,ARODBRG1187FB3FD99,rock,She Fell Away (2009 Digital Remaster),0
78,SOYSTDI12A6D4F6500,ARMBYRO1187FB57419,freestyle,Next Time,0
79,SOOOROX12A6D4F8400,ARWY7I71187FB36C3D,brill building pop,It's My Party,1963
80,SONSPZE12AB01819CE,AR6Y22S1187B99906F,melodic hardcore,Complicate It,2001
81,SOHWGFU12AB017B036,ARI5P4N1187FB3F44D,british pop,Monde De Fou,2005
82,SOQQVQJ12AB0185192,ARYPWUK1187B98ACED,heavy metal,Opus a Satana (Part 2),0
83,SODRHHD12AB0189F2A,ARW63KF1187B98AC48,chanson,This Melody (Live),0
84,SOQGFVO12A8C13C8C3,AR8H87D1187FB3A841,country rock,I'm Gone This Time,0
85,SORABMD12A8C136672,ARLWR721187B9A03C9,country rock,You Feel Good All Over,2002
86,SOTUBVH12AB018D2EC,ARF4V431187FB3AA41,folk-pop,Indian Love Call,1990
87,SOMQAGT12A8C132DB4,ARBGWMW1187B9AEA3E,easy listening,You Can Still Be Free,1999
88,SOKLLOH12A67020F2C,AR6G4V01187B9AD086,stoner metal,I Never Came,2005
89,SONRLQH12AB017C232,ARVQ4QM1187B98AD95,western swing,Dixie,0
90,SODDZAD12A6701DC4C,AR9AM2N1187B9AD2F1,indie rock,Commercial Reign,1990
91,SORENXV12A6701F61F,AR9XEVF1187B99D017,rap rock,Hourglass,0
92,SOYMMDY12AB01825B2,ARCFOZ71187FB43A0D,indie rock,Wake,0
93,SOJWQIP12A6D4F710A,ARHFEBO11F50C4825A,ranchera,Caricia Y Herida,0
94,SOOVOKS12AB017EE57,AR107SB1187B9A79F9,chanson,Le tortillard,0
95,SORWHWY12A6702038E,ARXWAQQ1187B9AE954,hip hop,WKYA (drop),2001
96,SOGYYLE12A8C13E5EA,ARL6XZC1187FB3936E,german pop,TerA$?slintu,0
97,SOITUXQ12AB0183AE9,ARSDSMG1187B98CB59,easy listening,Now's The Time To Fall In Love,0
98,SOTWEZZ12A8C142B60,AR3WMW01187B9921F7,breakcore,Grim Prospects (Gross Prospects - Bad Trip Remix),0
99,SOUVRGZ12A58A77F90,AR3C3C01187B98E800,hard bop,Mangos,1961
100,SOBLTSM12A6D4F9EEA,ARDD9UN1187B98D3A7,free jazz,A Distant Voice,0
101,SOUQVUD12A8C142DCE,ARJGNV61187B98F3B5,shoegaze,Openbare Weg,2006
102,SOCRPDR12AB0185B75,ARSVI4L1187B996181,chill-out,President Johnson,2000
103,SOXVBVL12AF72A600C,ARVJ0JK1187B98C9C0,gospel,Lead Me Lord,1995
104,SOIQHDR12AB01896C8,AR4PCIG1187B98D07D,blues-rock,Spontanous Combustion,0
105,SODLSHA12AAF3B29F2,AR1RHCO1187B9AF0BF,latin jazz,Choro,0
106,SOAGHMH12AB0180285,AR1X2H01187B98CCF2,chanson,Ma Louise,0
107,SORAVUP12AB018556E,ARBQBZV1187B99D29E,tech house,I Want You (Forever),1991
108,SOFXNQP12AB0184F1A,AR9ODB41187FB459B2,hip hop,Hate,1997
109,SOGQTRZ12A8C13C8B0,ARF3GX71187FB3EB66,country,I Can't Stop Loving You,2005
110,SOBHVZQ12AC9618285,AR3PN3R1187FB4CEBD,roots reggae,Thank You Lord,1985
111,SOYPBCY12AB0181EF3,ARYWCFZ11E2835CFDD,freakbeat,How Can You Call That Beautiful (Stewkey Vocal),0
112,SOWRLSY12AC4687694,ARUT16P1187FB532A4,chicago soul,Cheatin' In The Next Room,0
113,SOOGQWR12A8C142505,AREOGMA1187B9908EF,blues-rock,Candy Man,1971
114,SOJDYQY12AB0188C97,AR4ABL21187FB3913A,jazz fusion,I See The Boys Of Summer,0
115,SOBHQUF12AB018B03E,AR8YV1I1187FB45D2B,delta blues,Three Is a Crowd,0
116,SOFRAZJ12A8C143CDB,ARR9XGB1187B9912E6,new jack swing,On Bended Knee,1994
117,SONNDHT12A8C13F20B,ARBKUS51187B98A3AC,piedmont blues,My Four Reasons,0
118,SOYZOXW12A8C13E195,ARTB5PP1187FB523B7,jazz funk,Little Girl (LP Version),1971
119,SOSGJTX12AB0181F7C,ARXFQDY1187B9AAF1E,male vocalist,Eternamente Amame,0
120,SOBQBWP12AB018611B,ARVEJ9M1187FB4DC44,chanson,Niev nietch nievitch,1999
121,SODULLV12AB017FA09,ARTHEAP122BCFCD0B2,ghetto tech,Come Over,0
122,SOYAGJM12A8C13DCCE,ARQESNI1187FB511EE,dance pop,Blue Taxi,0
123,SORXUZZ12A8AE4798A,ARCZ20M1187FB49687,country rock,I Want Love (Tween You & Me) (Album Version),0
124,SOCHXAE12AF72A25D6,ARDF8K01187FB37200,stoner metal,White Feather,2009
125,SOCRHCQ12A58A7C8C6,AR11NP91187B9901B4,singer-songwriter,Christlike Roche,1995
126,SOSEJIQ12AB017E7EB,ARBZAIL1187FB5B1C8,blues-rock,You Rascal You,0
127,SOMXWXQ12AC3DFA002,ARWXHRS1241B9C7A1E,guitar,Sympathy,0
128,SOGMXBW12A6D4FB8D7,ARV1P811187FB3CFC6,pop rap,They Say (Album),2007
129,SOOPUTF12AB018DFAA,ARIU0MA1187B98D36F,progressive house,Simon's Folly,0
